City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
126,Tutoia,BR,80.28,broken clouds,-2.76,-42.27,Pousada Guará's
129,Sungaipenuh,ID,77.49,broken clouds,-2.08,101.38,penginapan citra alam
133,Namatanai,PG,83.46,light rain,-3.67,152.43,Seagulls Inn Namatani
139,Kismayo,SO,84.88,clear sky,-0.36,42.55,Agan-Hotel
140,Faanui,PF,81.09,few clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
143,Bengkulu,ID,83.30,overcast clouds,-3.80,102.27,Grage Hotel Bengkulu
147,Temerloh,MY,87.51,overcast clouds,3.45,102.42,U Design Hotel Temerloh
149,Port Elizabeth,ZA,77.29,clear sky,-33.92,25.57,39 On Nile Guest House
152,Dwarka,IN,82.72,overcast clouds,22.24,68.97,Hotel Narayan Avezika Comfort
153,Tautira,PF,78.82,light rain,-17.73,-149.15,Pension Oaoa
154,Bandundu,CD,76.14,overcast clouds,-3.32,17.37,Coja Color
156,Georgetown,MY,87.75,few clouds,5.41,100.34,Cititel Penang
161,Majene,ID,82.89,moderate rain,-3.54,118.97,Kost Putri RABBANI
163,Saint-Joseph,RE,82.76,light rain,-21.37,55.62,"""Plantation Bed and Breakfast"
168,Bintulu,MY,84.61,few clouds,3.17,113.03,900 Boutique INN
173,Toamasina,MG,78.80,broken clouds,-18.17,49.38,Hotel H1
176,Atuona,PF,78.53,scattered clouds,-9.80,-139.03,Villa Enata
180,Puerto Escondido,MX,76.91,overcast clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
182,Salalah,OM,87.82,clear sky,17.02,54.09,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
183,Tezu,IN,79.68,clear sky,27.92,96.17,Circuit House
187,Alyangula,AU,88.23,scattered clouds,-13.85,136.42,Groote Eylandt Lodge
192,Isangel,VU,84.31,broken clouds,-19.55,169.27,Tanna Lodge
193,Bac Lieu,VN,80.53,light rain,9.29,105.72,Khách sạn Sài Gòn Bạc Liêu
194,Garoua,CM,79.88,few clouds,9.30,13.40,Dreamland Hotel Annexe Bockle
197,Kelo,TD,80.37,scattered clouds,9.31,15.81,Plantation de Kelo
199,Cayenne,GF,75.24,clear sky,4.93,-52.33,Hôtel Le Dronmi
201,Veraval,IN,84.60,overcast clouds,20.90,70.37,Lords Inn Somnath
212,Sola,VU,82.09,broken clouds,-13.88,167.55,Leumerus Bungalows
213,Anloga,GH,81.79,broken clouds,5.79,0.90,Pin Drop Hotel
222,Quelimane,MZ,78.26,overcast clouds,-17.88,36.89,Hotel Flamingo
