City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
192,Isangel,VU,-19.55,169.2667,84.31,79,75,5.75,broken clouds
193,Bac Lieu,VN,9.285,105.7244,80.53,78,100,11.68,light rain
194,Garoua,CM,9.3,13.4,79.88,19,16,3.56,few clouds
195,Tigil,RU,57.8,158.6667,-6.7,100,94,3.8,overcast clouds
196,Yakeshi,CN,49.2833,120.7333,14.76,93,100,6.85,overcast clouds
197,Kelo,TD,9.3086,15.8066,80.37,20,27,1.23,scattered clouds
198,Carnarvon,AU,-24.8667,113.6333,90.21,36,1,20.69,clear sky
199,Cayenne,GF,4.9333,-52.3333,75.24,100,0,0.0,clear sky
200,Airai,TL,-8.9266,125.4092,69.49,77,100,2.93,overcast clouds
201,Veraval,IN,20.9,70.3667,84.6,41,85,2.57,overcast clouds
202,Greenwood,US,34.1668,-82.1165,49.44,53,100,8.55,overcast clouds
203,Bin Qirdan,TN,33.1378,11.2197,58.69,70,100,4.21,overcast clouds
204,Ngunguru,NZ,-35.6167,174.5,64.54,76,100,7.07,overcast clouds
205,Ixtapa,MX,20.7,-105.2,70.83,82,100,2.46,overcast clouds
206,Storm Lake,US,42.6411,-95.2097,30.42,86,1,11.5,clear sky
207,Chapais,CA,49.7834,-74.8492,17.38,92,100,11.77,overcast clouds
208,Ponta Delgada,PT,37.7333,-25.6667,59.72,67,75,4.61,broken clouds
209,Tiksi,RU,71.6872,128.8694,-8.61,97,100,6.76,overcast clouds
210,Porto Santo,PT,33.072,-16.3415,62.51,77,40,21.85,scattered clouds
211,Benghazi,LY,32.1167,20.0667,71.38,60,100,12.48,overcast clouds
212,Sola,VU,-13.8833,167.55,82.09,72,68,6.58,broken clouds
213,Anloga,GH,5.7947,0.8973,81.79,79,80,8.37,broken clouds
214,Athabasca,CA,54.7169,-113.2854,25.12,92,100,8.72,overcast clouds
215,Caravelas,BR,-17.7125,-39.2481,70.74,96,100,5.17,overcast clouds
216,Necochea,AR,-38.5473,-58.7368,59.7,95,100,7.4,light rain
217,Vostochnyy,RU,55.8167,37.8667,40.98,88,99,10.02,overcast clouds
218,Tilichiki,RU,60.4667,166.1,23.77,88,100,15.26,light snow
219,Ostrovnoy,RU,68.0531,39.5131,7.9,92,97,6.44,overcast clouds
220,Nikolskoye,RU,59.7035,30.7861,28.29,94,100,9.64,light snow
221,Sitka,US,57.0531,-135.33,33.69,93,90,5.75,light rain
222,Quelimane,MZ,-17.8786,36.8883,78.26,53,97,4.88,overcast clouds
223,Adre,TD,13.4667,22.2,74.1,18,0,17.81,clear sky
224,Martapura,ID,-3.4167,114.85,82.49,83,75,10.36,broken clouds
225,Portland,US,45.5234,-122.6762,56.43,95,100,6.02,overcast clouds
226,Fairbanks,US,64.8378,-147.7164,-18.4,76,90,0.0,light snow
227,Kashi,CN,39.4547,75.9797,37.76,34,21,6.49,few clouds
228,San Quintin,MX,30.4833,-115.95,61.0,69,0,3.47,clear sky
229,Margate,GB,51.3813,1.3862,35.31,83,100,30.56,overcast clouds
230,Ilulissat,GL,69.2167,-51.1,24.82,58,100,12.66,overcast clouds
231,Hit,IQ,33.6416,42.8251,68.0,35,40,3.85,scattered clouds
232,Newport,GB,51.5877,-2.9984,34.34,57,100,8.93,overcast clouds
233,Trairi,BR,-3.2778,-39.2689,80.37,77,100,7.87,overcast clouds
234,Norman Wells,CA,65.282,-126.8329,-19.28,97,100,4.79,overcast clouds
235,Thinadhoo,MV,0.5333,72.9333,82.26,71,98,18.66,overcast clouds
236,Mokshan,RU,53.4365,44.6132,33.96,99,100,13.56,light rain
237,Urubicha,BO,-15.3833,-62.95,75.0,84,13,4.52,few clouds
238,Mahebourg,MU,-20.4081,57.7,84.49,54,20,16.11,few clouds
239,Taoudenni,ML,22.6783,-3.9836,62.94,37,5,8.03,clear sky
240,Gombe,NG,10.2897,11.1673,75.7,19,15,9.13,few clouds
241,Henties Bay,NA,-22.116,14.2845,63.32,68,0,4.9,clear sky
242,Devrek,TR,41.2192,31.9558,52.65,63,100,7.4,overcast clouds
243,Turukhansk,RU,65.8167,87.9833,5.29,94,100,12.26,light snow
244,Lokosovo,RU,61.1333,74.8167,22.06,85,100,11.63,light snow
245,Benemerito De Las Americas,MX,16.5167,-90.6439,68.45,91,90,0.56,overcast clouds
246,Rincon,US,32.296,-81.2354,46.26,93,1,0.0,clear sky
247,Oeiras Do Para,BR,-2.0031,-49.8544,73.81,98,68,2.77,broken clouds
248,Vilani,LV,56.5525,26.9245,26.4,96,100,1.81,overcast clouds
249,Teguise,ES,29.0605,-13.564,59.22,77,20,8.05,few clouds
250,Vila Franca Do Campo,PT,37.7167,-25.4333,59.41,72,99,6.71,overcast clouds
251,Cabo San Lucas,MX,22.8909,-109.9124,72.82,75,100,7.63,overcast clouds
252,Bakau,GM,13.4781,-16.6819,73.54,73,0,6.91,clear sky
253,Sagar,IN,23.8333,78.7167,78.22,26,24,6.62,few clouds
254,Guerrero Negro,MX,27.9769,-114.0611,64.51,73,0,6.29,clear sky
255,Hualmay,PE,-11.0964,-77.6139,64.89,88,100,9.17,overcast clouds
256,Aasiaat,GL,68.7098,-52.8699,21.36,75,100,12.37,overcast clouds
257,Strezhevoy,RU,60.7333,77.5889,31.98,91,99,16.13,overcast clouds
258,Camopi,GF,3.1655,-52.3158,71.46,100,77,1.95,broken clouds
259,Yerkoy,TR,39.6381,34.4672,54.7,78,100,7.36,overcast clouds
260,Kamaishi,JP,39.2667,141.8833,45.39,54,19,5.93,few clouds
261,Mackay,AU,-21.15,149.2,82.08,69,13,10.09,few clouds
262,Mehamn,NO,71.0357,27.8492,13.3,88,33,12.37,scattered clouds
263,Najran,SA,17.4924,44.1277,71.82,30,0,8.25,clear sky
264,Numan,NG,9.4667,12.0333,80.11,18,28,2.84,scattered clouds
265,Nhulunbuy,AU,-12.2333,136.7667,90.21,51,87,13.8,overcast clouds
266,Sampit,ID,-2.5333,112.95,75.29,97,100,6.17,light rain
267,Caconda,AO,-13.7333,15.0667,64.76,82,100,3.56,light rain
268,Kruisfontein,ZA,-34.0033,24.7314,76.59,39,8,10.58,clear sky
269,Vernon,CA,50.2581,-119.2691,36.93,93,100,2.3,overcast clouds
270,Gualaquiza,EC,-3.4,-78.55,61.27,98,94,1.39,overcast clouds
271,Taltal,CL,-25.4,-70.4833,60.96,79,26,1.86,scattered clouds
272,Nzerekore,GN,7.7562,-8.8179,67.84,87,78,2.06,broken clouds
273,Willowmore,ZA,-33.2926,23.4895,65.16,53,78,23.38,broken clouds
274,Bambous Virieux,MU,-20.3428,57.7575,84.45,54,20,16.11,few clouds
275,Lotofaga,WS,-13.9764,-171.8578,82.63,79,100,15.48,light rain
276,Vila Do Conde,PT,41.3548,-8.7434,37.87,100,0,0.0,clear sky
277,Zhigansk,RU,66.7697,123.3711,-8.19,98,100,6.78,overcast clouds
278,Buchanan,LR,5.8808,-10.0467,75.16,85,41,4.25,light rain
279,Ternate,ID,0.8,127.4,84.11,74,99,7.4,light rain
280,Pundaguitan,PH,6.3711,126.1689,82.65,78,78,12.28,broken clouds
281,Usinsk,RU,65.9939,57.5281,-10.14,100,100,2.48,overcast clouds
282,Mecca,SA,21.4267,39.8261,86.29,37,0,2.26,clear sky
283,Santa Maria,BR,-29.6842,-53.8069,64.13,97,100,7.31,overcast clouds
284,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,67.37,96,100,2.77,moderate rain
285,Flinders,AU,-34.5833,150.8552,62.11,69,57,10.74,broken clouds
286,Fare,PF,-16.7,-151.0167,80.83,75,14,12.37,light rain
287,Yerbogachen,RU,61.2767,108.0108,6.87,93,100,6.33,overcast clouds
288,Porto Walter,BR,-8.2686,-72.7439,71.29,99,100,1.61,overcast clouds
289,Ketchikan,US,55.3422,-131.6461,46.87,76,90,5.75,overcast clouds
290,Graham,US,47.0529,-122.2943,60.6,91,90,11.5,overcast clouds
291,Starkville,US,33.4504,-88.8184,49.87,57,1,0.0,clear sky
292,Bandar-E Anzali,IR,37.4727,49.4622,57.31,77,62,0.54,broken clouds
293,Bryan,US,30.6744,-96.37,51.55,94,90,0.0,drizzle
294,Biak,ID,-0.9131,122.8766,81.27,78,98,4.34,overcast clouds
295,Manokwari,ID,-0.8667,134.0833,81.54,80,65,2.01,broken clouds
296,Vestmannaeyjar,IS,63.4427,-20.2734,39.51,95,100,13.02,moderate rain
297,Komsomolskiy,UZ,40.4272,71.7189,47.12,61,33,2.3,scattered clouds
298,Provideniya,RU,64.3833,-173.3,-6.07,81,7,5.12,clear sky
299,Tambovka,RU,50.0969,128.0489,14.11,97,99,3.33,overcast clouds
300,Rafaela,AR,-31.2503,-61.4867,61.0,96,100,19.37,moderate rain
301,Kahului,US,20.8947,-156.47,75.22,73,40,14.97,scattered clouds
302,Killam,CA,52.7834,-111.8518,25.39,88,100,8.34,overcast clouds
303,Naziya,RU,59.8,31.3833,27.97,93,100,11.27,snow
304,Yarim,YE,14.298,44.3779,58.86,31,0,9.69,clear sky
305,Shingu,JP,33.7333,135.9833,52.9,60,0,3.51,clear sky
306,Bull Savanna,JM,17.8868,-77.5902,71.76,77,3,5.7,clear sky
307,Chelno-Vershiny,RU,54.4333,51.1,28.56,92,100,18.03,overcast clouds
308,Arraial Do Cabo,BR,-22.9661,-42.0278,71.78,89,4,9.19,clear sky
309,Mangan,IN,27.5167,88.5333,71.24,47,12,7.29,few clouds
310,Rantoul,US,40.3084,-88.1559,34.25,86,1,13.31,clear sky
311,The Pas,CA,53.8251,-101.2541,8.55,99,65,4.72,broken clouds
312,Tarko-Sale,RU,64.9225,77.785,0.0,97,82,11.36,broken clouds
313,Maldonado,UY,-34.6667,-54.9167,65.59,96,100,4.16,overcast clouds
314,Mount Gambier,AU,-37.8333,140.7667,65.77,57,0,12.33,clear sky
315,Namibe,AO,-15.1961,12.1522,70.61,68,100,5.39,overcast clouds
316,Pontianak,ID,-0.0333,109.3333,84.18,70,75,3.44,broken clouds
317,Coruripe,BR,-10.1256,-36.1756,77.14,80,86,12.37,overcast clouds
318,Saint-Pierre,RE,-21.3393,55.4781,83.84,94,90,6.91,light rain
319,Nyurba,RU,63.2842,118.3319,-2.92,95,91,7.2,overcast clouds
320,Andenes,NO,69.3143,16.1194,21.18,68,100,16.11,light snow
321,Opuwo,NA,-18.0607,13.84,79.68,16,97,5.19,overcast clouds
322,Lagoa,PT,39.05,-27.9833,61.21,60,100,6.91,overcast clouds
323,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.28,85,52,6.11,broken clouds
324,Haines Junction,CA,60.7522,-137.5108,0.68,99,100,3.47,light snow
325,Klaksvik,FO,62.2266,-6.589,29.32,60,98,3.89,overcast clouds
326,Bayji,IQ,34.9311,43.487,66.65,37,91,5.35,overcast clouds
327,Longyearbyen,SJ,78.2186,15.6401,12.04,57,20,26.46,few clouds
328,Ucluelet,CA,48.9329,-125.5528,50.38,98,100,5.66,light rain
329,Bubaque,GW,11.2833,-15.8333,82.49,71,89,10.18,overcast clouds
330,Bjornevatn,NO,69.6672,29.9847,-7.26,77,90,8.05,light snow
331,Road Town,VG,18.4167,-64.6167,79.99,78,12,11.56,few clouds
332,Piacabucu,BR,-10.4056,-36.4344,77.83,79,95,11.54,overcast clouds
333,Cherskiy,RU,68.75,161.3,-19.17,91,86,2.55,overcast clouds
334,Dicabisagan,PH,17.0818,122.4157,77.95,89,100,5.35,overcast clouds
335,Lanzhou,CN,36.0564,103.7922,34.74,46,100,10.38,overcast clouds
336,Ancud,CL,-41.8697,-73.8203,47.73,87,32,2.91,scattered clouds
337,Surman,LY,32.7567,12.5716,64.26,45,100,2.42,overcast clouds
338,Iquique,CL,-20.2208,-70.1431,62.64,76,59,3.53,broken clouds
339,Coihaique,CL,-45.5752,-72.0662,48.15,66,90,3.44,overcast clouds
